target,발음1,발음2,발음3,발음4,발음5,발음6,발음7,발음8,발음9,발음10,발음11,발음12,발음13,발음14,발음15,발음16,발음17,발음18,발음19,발음20,발음21,발음22,발음23,발음24,발음25,발음26,발음27,발음28,발음29,발음30,발음31,발음32,발음33,발음34,발음35,발음36,발음37,발음38,발음39,발음40,발음41,발음42,발음43,발음44,발음45,발음46,발음47,발음48,발음49,발음50,발음51,발음52,발음53,발음54,발음55,발음56,발음57,발음58,발음59,발음60,발음61,발음62,발음63,발음64,발음65,발음66,발음67,발음68,발음69,발음70,발음71,발음72,발음73,발음74,발음75,발음76,발음77,발음78,발음79,발음80,length,initial
directory,더렉터리,더렉태리,버넥터리,대렉터리,더릭터리,더멕터래,더렉처리,더렉더리,더뢱터레,더렉터미,떠렉커리,더렝터리,버렉터리,더렣터니,더렉터루,대렉처리,더렉트리,드렉터리,더렉터니,러렉터리,버렉터뤼,더렉태니,더렉터리,더렣터리,더렉터리,버렉터리,더렉트리,더렉터루,더렉터리,더렉더리,대렉처리,더렝터리,더렉더리,떠렉커리,더렉태니,떠렉커리,더렉태리,더렉터리,더렉터니,더렉터리,버렉터뤼,더렝터리,버렉터뤼,더렉터리,버렉터뤼,버렉터뤼,더릭터리,버렉터뤼,더렉태니,버렉터뤼,더렝터리,더렉태리,더렉더리,버렉터뤼,더뢱터레,더렉터리,버렉터뤼,버렉터리,버넥터리,더렉터리,떠렉커리,더렉태리,떠렉커리,더렉터리,떠렉커리,더렉터니,버렉터리,더렉터리,버렉터뤼,버렉터뤼,버넥터리,더렉더리,버렉터뤼,더릭터리,드렉터리,더렉터리,버렉터리,더렉태니,더렉태리,버렉터뤼,4,ㄷ
dirty,더티,버티,대디,터티,대티,더테,드티,더티,더치,더씨,대트,드치,더튀,버태,대튀,버피,대치,더피,더치,대치,드치,더치,대치,버피,버피,버티,대치,버피,드티,버티,드티,드티,버티,대튀,버피,대튀,버피,더튀,드티,드티,대치,터티,드티,터티,버티,대튀,대치,더치,버티,드티,터티,버피,대트,버티,더치,더치,대튀,더치,더티,버피,더치,대치,버피,버티,더치,터티,대티,더테,버피,버피,대치,버피,더치,대튀,버피,대튀,버티,드티,대치,버피,2,ㄷ
disk,디스크,디서커,티스크,디수크,디서크,디스그,뒤서크,대쯔크,디스크,두스트,디스트,니스크,대뜨크,디뜨크,비스커,디쯔크,디즈크,디스흐,두스그,디스커,디스퀴,디트트,디스트,디스퀴,두스그,디스크,디스퀴,디수크,대쯔크,디뜨크,디스트,디스크,뒤서크,비스커,디스크,디서커,두스그,두스그,비스커,비스커,디뜨크,비스커,디수크,디수크,디뜨크,뒤서크,비스커,디서커,디스크,비스커,디수크,디쯔크,디트트,디스크,디스커,디스퀴,두스트,디스커,비스커,디스커,디스퀴,뒤서크,두스트,디스커,뒤서크,디스크,디뜨크,두스그,디스크,디스트,디수크,뒤서크,두스트,뒤서크,대뜨크,비스커,디스커,디서커,두스그,디스퀴,3,ㄷ
dynamic,다이내믹,바이내믹,다키내믹,다히내믹,다키내멕,다기매믹,다우너믹,다애내믹,다이네믹,바이내밐,다기내릭,다이내멕,다이니밐,다에내믹,타이내믹,나이내밍,다이내믹,다이너믹,바이너믹,다끼내믹,다이니믹,사이내밐,다이내묵,다이래믹,다이내밍,나이내밍,다이내묵,다이래믹,다이내묵,다기내릭,바이너믹,나이내밍,다이내멕,다히내믹,다이내묵,다이내묵,다이내믹,다이내밍,다이내멕,바이내밐,다키내멕,다이니믹,다이내멕,다기매믹,다이내묵,바이너믹,바이너믹,다이내묵,다이내믹,다이내멕,다이래믹,다애내믹,다이내멕,다이내묵,다키내멕,다이내믹,다이내멕,다히내믹,바이너믹,다이내멕,나이내밍,바이너믹,다이니밐,다이내묵,다키내믹,다이내묵,타이내믹,다이니믹,다이내멕,타이내믹,다이니믹,다이너믹,다이니밐,다기내릭,다이내묵,다끼내믹,다이니밐,다우너믹,다끼내믹,다이내묵,4,ㄷ
easy,이지,에치,히지,키지,우주,기치,이씨,이즈,끼치,기찌,애제,끼지,이지,이제,이시,이찌,이쥐,이치,애찌,이제,이제,우주,우주,이씨,키지,이즈,이제,이즈,기치,이지,애제,에치,이제,이제,애찌,애제,이즈,키지,이제,애찌,우주,이제,우주,이제,애제,이제,이제,우주,애제,기찌,이제,우주,우주,이제,우주,이씨,애제,우주,애제,키지,이시,애찌,키지,이지,애찌,끼지,애찌,이씨,애제,끼치,끼치,이지,이지,끼지,이씨,이지,이제,이씨,기찌,이제,2,ㅇ
eat,이트,끼크,우티,애터,끼트,에트,이트,이크,기스,이스,이뜨,끼스,기크,이튀,기트,이프,애터,끼스,애터,기스,기트,기트,끼스,기스,끼크,기크,에트,끼트,기트,끼크,애터,끼스,우티,에트,에트,끼크,애터,끼트,에트,끼스,에트,끼트,끼스,이크,끼크,기트,끼스,끼스,끼스,끼스,끼스,이크,끼스,기크,끼크,끼트,끼스,끼스,이프,애터,기크,기트,에트,끼스,기트,끼스,끼스,끼크,끼크,끼크,끼스,기트,에트,끼트,끼스,끼스,끼스,끼트,기트,끼스,2,ㅇ
effective,이펙티브,위펳티브,위펙티브,우펙티브,이펳테브,에펙티브,이펭디브,끼폭티브,애멕티브,이펚티비,이펙티부,이펙티브,기펙티브,에펙키브,이벡티브,히펙티브,이펙튀브,이펭티부,이펙티버,애펙티브,이팩티부,우펙티버,이펰태브,이펭티브,우펙티버,이펭디브,이펙티브,우펙티버,이팩티부,이펭티브,우펙티버,우펙티버,이펙티버,우펙티버,이펳테브,위펙티브,이펙튀브,히펙티브,이펭티브,이펙튀브,우펙티버,이펙티버,애펙티브,우펙티버,이펭디브,에펙키브,애펙티브,우펙티버,이펙티버,히펙티브,애멕티브,이펭디브,우펙티버,우펙티버,히펙티브,애멕티브,이펙튀브,이펭티브,에펙티브,이펭디브,이펙티브,우펙티버,애펙티브,이펙튀브,애멕티브,에펙티브,에펙티브,이팩티부,이펭디브,끼폭티브,이팩티부,이펰태브,애멕티브,이펙튀브,우펙티버,이펭티브,에펙티브,이펳테브,이펙티버,이벡티브,4,ㅇ
efficient,이피션트,끼피션티,우피션트,이페션튀,이피션쓰,이푸션크,이삐션트,이프션트,애피션트,이피션트,이미션투,이푸셜트,이티션트,이피션크,이피셜트,히피션트,이피쪈터,이페셜트,이피션티,이푸션트,이피션터,이페셜트,히피션트,이푸션크,이페셜트,이프션트,이피쪈터,이페셜트,이푸션크,이삐션트,이푸션크,이피션터,이푸셜트,이삐션트,이삐션트,이페셜트,이페션튀,이페셜트,이티션트,이피션터,이페셜트,이페셜트,이티션트,이페션튀,이티션트,이피션터,이피션크,이페셜트,히피션트,이피쪈터,이푸션크,이푸션크,이피션터,이티션트,이피션티,이피션크,이프션트,이페셜트,이푸션트,이피션크,이푸션크,이푸션트,이티션트,이미션투,이페셜트,이삐션트,이푸션크,이피션터,이페셜트,히피션트,이페셜트,이삐션트,이삐션트,이삐션트,이피션쓰,이페션튀,이푸션크,히피션트,이푸셜트,이페셜트,4,ㅇ
enable,에네이벌,에니이벌,에네히덜,에메이벌,에네이범,에네이블,에네키덜,에네키벌,에네이덜,애네애벌,에네키뻘,에네끼벌,에네히멀,에네위밸,에네이벌,에레애벌,에메이범,헤네이벌,에내이벌,외네이밸,에네애벌,에네히벌,오네이멀,게네이벌,게네에벌,애네애벌,게네이벌,에네이블,에네이블,외네이밸,에네히덜,에네히멀,게네에벌,에네애벌,에네이블,애네애벌,에니이벌,에네키덜,게네에벌,오네이멀,에네키덜,에레애벌,에네히멀,에네히덜,에네히덜,외네이밸,에네키덜,에네키덜,에네이덜,에네이블,에네키덜,에네이벌,에네히덜,에네이블,에네히덜,에네이블,에네히멀,에내이벌,에네이덜,에네이블,에네이블,애네애벌,게네이벌,에네키덜,애네애벌,애네애벌,에네이블,오네이멀,에네애벌,게네이벌,에네히멀,에네히멀,게네이벌,에레애벌,게네이벌,에네애벌,에니이벌,에네이덜,에네히덜,오네이멀,4,ㅇ
engineering,엔저니링,엔저네릮,앤저니링,엔써니링,온저니링,엘저니링,엔저니닝,엔재니링,켄저니링,헨저니링,엔저네닝,엔처니링,엔저내릉,왼저내링,인저니룽,엔저니링,엔처니렝,엔처니링,엔저내릉,엔저내릉,헨저니링,앤저니링,엔저내릉,온저니링,인저니룽,엔저네릮,엔재니링,엔써니링,엔저니닝,엔저니닝,엔재니링,엔저네릮,헨저니링,엔저니닝,앤저니링,헨저니링,엔처니링,앤저니링,엔처니렝,헨저니링,헨저니링,엔저내릉,앤저니링,엔저니닝,엔저내릉,헨저니링,헨저니링,인저니룽,엔재니링,엔저니닝,인저니룽,엘저니링,앤저니링,엔저내릉,앤저니링,앤저니링,인저니룽,앤저니링,헨저니링,헨저니링,엔저내릉,엔저네릮,인저니룽,엔저니닝,헨저니링,엔처니링,엔저니링,인저니룽,엔저네릮,엔처니링,엔저네릮,엔저내릉,인저니룽,엔저내릉,왼저내링,앤저니링,앤저니링,엔써니링,엔재니링,엔재니링,4,ㅇ
entire,인타이어,인타에어,힌타에어,인타이커,인타애어,임타이으,인타이으,낀타이커,인타이어,긴타이어,일타이어,인파이꺼,인타애거,은타이어,인타키어,인타이애,긴타이꺼,앤타이어,인타으어,임타끼어,인차기어,인카이허,낀타이어,힌타에어,긴타이꺼,인타애거,일타이어,긴타이꺼,인타이어,인파이꺼,긴타이꺼,긴타이꺼,인타애거,인타이커,긴타이꺼,긴타이꺼,인타애거,긴타이꺼,일타이어,긴타이꺼,긴타이꺼,일타이어,인타이애,인타으어,긴타이꺼,인타애거,일타이어,인타이으,인타애거,긴타이꺼,인파이꺼,인타애거,앤타이어,낀타이어,인파이꺼,인타애거,인타애거,인타애거,인타이으,임타끼어,긴타이꺼,인차기어,임타끼어,인타애거,인파이꺼,인카이허,일타이어,인파이꺼,인타애거,앤타이어,임타이으,긴타이꺼,긴타이꺼,인타이커,인타애거,인파이꺼,인타이으,인타이어,인타이커,인타애거,4,ㅇ
entry,엔트리,인트니,인트리,왼트리,엔츠리,엔트뤼,엘트리,껜트르,엔투리,엔트리,엔트니,겐트리,앤트리,켄트리,헨트리,켄터리,껜트리,엔트레,엠투리,엔트미,엔터리,엠트리,엠투리,켄트리,켄트리,엠투리,엠투리,엠투리,엔트뤼,엔트레,인트니,엔트미,엔트미,엔트리,엠투리,켄터리,엔트레,엔트니,엔트니,엔투리,엔트미,엔트리,엔트미,엔츠리,껜트리,앤트리,헨트리,엔트미,엠투리,엠투리,엠투리,엠투리,켄터리,껜트리,엔트니,엔트미,엔츠리,엠투리,엔트레,켄트리,엔트미,켄트리,엔트리,엔츠리,엠투리,헨트리,엔투리,헨트리,엔트니,엠투리,인트니,헨트리,헨트리,엔터리,헨트리,엔투리,엘트리,엘트리,인트리,엔투리,3,ㅇ
exact,이그잭트,우그잮트,이그쟁트,애그잭트,이그잭티,이그짹트,이으잭트,이그잭튀,이그짹튀,이거잭트,이그잭크,이크잭트,키그잭터,이그책트,끼그잭트,이끄잭트,이그젝트,이구짹트,이그잭터,히그쟄트,이크짹트,에그젝트,위그잭트,이그잭트,이으잭트,이거잭트,에그젝트,이구짹트,이거잭트,이으잭트,끼그잭트,위그잭트,이그잭티,이거잭트,이그쟁트,이그쟁트,이그쟁트,이구짹트,우그잮트,히그쟄트,이거잭트,이그짹튀,위그잭트,위그잭트,위그잭트,이크잭트,이그젝트,우그잮트,이그책트,우그잮트,우그잮트,이그짹튀,이구짹트,위그잭트,에그젝트,이구짹트,에그젝트,에그젝트,우그잮트,이구짹트,이구짹트,이구짹트,끼그잭트,이끄잭트,끼그잭트,위그잭트,이끄잭트,끼그잭트,끼그잭트,이그잭튀,우그잮트,이그젝트,우그잮트,위그잭트,에그젝트,이끄잭트,끼그잭트,위그잭트,위그잭트,위그잭트,4,ㅇ
execute,엑써규트,엑써휴트,엨쓰규트,엑써규튀,엑쓰규트,엑써유크,액써규트,엑쌔규터,엑써규크,켁써뀨트,엑쌔규트,엨써규트,엑써뀨트,왹써유트,엑써유튀,엑더규트,엑써규트,엑서규트,헥써규트,겍써규트,엑써뀨트,엑써규튀,엑써규튀,엑쌔규터,엑써규튀,엑쌔규터,엑써유튀,엑써유튀,엑쌔규터,엑써뀨트,엨쓰규트,엑써규튀,액써규트,엑서규트,켁써뀨트,엑써뀨트,엑써유튀,액써규트,엑써규튀,엑쓰규트,액써규트,엑써규튀,엑쌔규트,엑써규튀,엑써규튀,엑서규트,액써규트,엑써휴트,엑써규튀,엑써유튀,엑써휴트,엑서규트,엑쓰규트,겍써규트,엑쌔규터,엨쓰규트,엑쌔규터,엑써유튀,엑쓰규트,액써규트,엨써규트,엑써규튀,엑써휴트,엨쓰규트,엑써규튀,엑쌔규터,엑써규튀,켁써뀨트,액써규트,엑써규튀,엑쓰규트,엨쓰규트,액써규트,겍써규트,엑써규튀,엨쓰규트,엨쓰규트,엑써규크,켁써뀨트,엑써규튀,4,ㅇ
execution,엑써규션,왹써규뗜,엒써유션,껙쩌규션,왹써규션,옥써규션,엑쩌규션,액써규션,엑더규션,엑써유션,겍써규셜,엑쩌규셜,엑써규션,엑쌔규쪈,엑써규셤,엒써규션,엑써큐션,엑터규션,엑쓰규션,껙쌔규션,겍써규션,엑서뀨션,엒써규션,엑쩌규션,왹써규뗜,왹써규뗜,엑써큐션,엒써규션,엑쓰규션,엑써큐션,엒써유션,옥써규션,왹써규뗜,엒써규션,옥써규션,엑써큐션,옥써규션,옥써규션,엑쩌규션,엑서뀨션,엑쩌규션,엒써유션,왹써규뗜,엒써규션,옥써규션,엒써유션,엑더규션,옥써규션,왹써규션,왹써규뗜,엑쓰규션,엑쩌규션,옥써규션,엑써큐션,왹써규션,엒써유션,엑터규션,옥써규션,엒써규션,엑쩌규션,엑써유션,엒써규션,엑써큐션,엑써큐션,엒써규션,엑쩌규션,엑써규셤,옥써규션,엑쓰규션,엒써유션,엒써유션,왹써규뗜,겍써규셜,엒써유션,엒써유션,엒써유션,엒써유션,엒써유션,엒써유션,엒써규션,4,ㅇ
expensive,익쓰펜시브,액쓰펜시브,익쓰펜시드,익쓰펜수부,읶쓰팬시브,익쓰멘시브,익쓰펜시브,익쓰펜찌브,익트펜시브,익쓰펜시버,익쓰폰시브,긱쓰펜시브,익스푄시브,액쓰팬시브,익쓰펜디브,익쓰푄시브,잌쓰펜시브,잉쓰펜시브,익쓰팬시브,힉쓰켄시브,익쓰펠시버,엑쓰펜시브,욱쓰펜시뷔,익쓰펜시므,익트펜시브,읶쓰팬시브,읶쓰팬시브,읶쓰팬시브,익쓰폰시브,익쓰폰시브,익쓰멘시브,읶쓰팬시브,액쓰팬시브,익쓰펜찌브,익쓰멘시브,익쓰펠시버,익쓰펜시므,익쓰펜찌브,읶쓰팬시브,익쓰펜시브,익트펜시브,익쓰펜찌브,엑쓰펜시브,엑쓰펜시브,엑쓰펜시브,익쓰펠시버,익트펜시브,긱쓰펜시브,익쓰펜찌브,익쓰펜시브,액쓰팬시브,익쓰멘시브,액쓰펜시브,익스푄시브,익쓰펜시버,익트펜시브,엑쓰펜시브,읶쓰팬시브,익트펜시브,엑쓰펜시브,익쓰펜수부,익트펜시브,익쓰펜시버,긱쓰펜시브,익쓰펜시브,익쓰폰시브,익쓰폰시브,익스푄시브,익쓰폰시브,액쓰팬시브,액쓰펜시브,익트펜시브,엑쓰펜시브,엑쓰펜시브,익트펜시브,읶쓰팬시브,익트펜시브,익쓰팬시브,익쓰펠시버,익쓰펜시버,5,ㅇ
extension,익쓰텐션,끽써텐션,긱쓰첸션,익쓰텐쪈,읶쓰텐션,익즈텐션,욱쓰텐쳔,윅쓰텐션,익스텐션,익쓰첸션,윅쓰쎈션,긱쓰텐션,익써텐션,킥쓰텐셤,익쯔텐션,익쓰텐션,힉쓰텐션,익쓰퇸션,익쓰센션,킥쓰텐션,익쓰톤션,액즈텐션,끽즈텐션,익쒸텐션,익쓰뗀션,잏쓰텐션,끽즈텐션,익즈텐션,익스텐션,익스텐션,익쓰뗀션,익쓰첸션,끽즈텐션,윅쓰텐션,익스텐션,긱쓰첸션,익즈텐션,끽써텐션,욱쓰텐쳔,익스텐션,킥쓰텐션,액즈텐션,액즈텐션,익써텐션,욱쓰텐쳔,익즈텐션,킥쓰텐셤,액즈텐션,끽써텐션,끽써텐션,윅쓰텐션,잏쓰텐션,익쓰뗀션,익쓰퇸션,익즈텐션,익스텐션,익쓰텐쪈,윅쓰텐션,익즈텐션,킥쓰텐셤,윅쓰텐션,윅쓰텐션,익스텐션,익쯔텐션,킥쓰텐션,힉쓰텐션,익즈텐션,익스텐션,익스텐션,욱쓰텐쳔,익즈텐션,익쓰센션,익쓰텐션,끽즈텐션,윅쓰텐션,욱쓰텐쳔,익스텐션,익스텐션,익스텐션,긱쓰텐션,4,ㅇ
external,익쓰터널,익쓰터럴,잏트터널,익뜨태널,익스터널,익쓰커널,윽쓰트널,익쑤커널,익즈터널,읶쯔터널,익스터넌,익쓰터늘,잌쓰터널,익쒸터널,잌써터널,잌츠터널,끽쓰터널,윽쓰터널,잏쓰터널,익쓰터넘,익쯔터널,익씨터널,익쓰터널,익쑤커널,익쓰터넘,익쑤커널,윽쓰터널,익쑤커널,익씨터널,익쒸터널,잌츠터널,익쑤커널,익쓰터럴,익쑤커널,익스터넌,익씨터널,익스터넌,윽쓰터널,잌써터널,익쒸터널,익씨터널,잏트터널,익씨터널,익스터넌,익쓰터럴,익쑤커널,윽쓰트널,익씨터널,익쑤커널,익쓰터넘,익씨터널,익쓰터럴,익뜨태널,익씨터널,익쓰터늘,익쓰터넘,익스터널,읶쯔터널,끽쓰터널,익씨터널,잏트터널,잏쓰터널,잏쓰터널,익쑤커널,끽쓰터널,익쓰터럴,익씨터널,잌써터널,익쑤커널,익씨터널,끽쓰터널,익씨터널,익씨터널,읶쯔터널,익쑤커널,익씨터널,끽쓰터널,잌쓰터널,익씨터널,끽쓰터널,4,ㅇ
fast,패스트,패스티,해즈트,패시뜨,패서티,페츠트,피스터,패수프,패쉬트,패서튀,매스트,퍼스트,패스크,패쓰트,페스트,패스트,패수트,패스튀,캐스트,패스투,해스트,패서트,페츠트,패스티,패스튀,패서트,패스크,패스크,해즈트,패스트,패스트,패스크,패스크,패스크,해스트,패스크,페스트,패스트,패스트,패스튀,패스크,패스크,패서티,패스크,패스크,해스트,해스트,페스트,패스티,패스크,패스투,패쉬트,해스트,패스투,패스투,패스트,페츠트,패서튀,패스티,패스투,해스트,페스트,패서티,해스트,패서티,해즈트,패스트,패스크,패스튀,패스티,패스트,해스트,패수프,패스크,해스트,패서튀,패스트,패스크,패서티,패쉬트,3,ㅍ
first,퍼스트,패스트,퍼쯔츠,허스트,퍼츠트,퍼스츠,퍼서트,프스튀,패스튀,프즈트,터스크,퍼스티,퍼스트,퍼스프,퍼서크,퍼스터,퍼스티,퍼스터,퍼쯔츠,퍼스터,프즈트,퍼쯔츠,퍼서트,프스튀,퍼스터,퍼스터,퍼쯔츠,프스튀,프스튀,퍼스터,퍼스터,퍼츠트,프즈트,퍼스터,퍼서트,퍼스티,퍼서크,프스튀,퍼스티,프스튀,퍼스프,퍼스티,퍼스터,퍼스프,퍼스터,프스튀,프스튀,퍼스티,퍼스터,프즈트,프즈트,퍼스티,퍼스프,퍼서트,퍼쯔츠,프스튀,프스튀,허스트,프스튀,프스튀,퍼쯔츠,퍼스츠,퍼스프,프스튀,퍼스프,프스튀,퍼스터,퍼스프,퍼쯔츠,퍼스티,프즈트,프스튀,퍼츠트,퍼쯔츠,프즈트,퍼스프,프스튀,프즈트,퍼쯔츠,프즈트,3,ㅍ
first fit,퍼스트 핃,터스트 핐,터스투 핃,퍼스트 픋,프스터 핃,패스트 핃,퍼스투 핃,퍼스트 핐,퍼스츠 핃,퍼서트 핃,프쓰트 핃,터스트 핃,퍼스트 핃,퍼스터 핃,퍼스트 핕,퍼드터 핃,패스투 핃,프스트 퓓,퍼스트 펟,프드트 핃,프서트 핃,퍼스트 푿,퍼스크 틷,프스트 픋,커스트 핃,프드트 핃,퍼스트 픋,퍼서트 핃,프스터 핃,퍼스터 핃,프서트 핃,터스트 핃,퍼스트 픋,퍼스트 픋,퍼스트 핕,퍼스트 픋,퍼서트 핃,프쓰트 핃,퍼스트 핕,프스터 핃,퍼스트 픋,프쓰트 핃,퍼스트 픋,퍼스터 핃,퍼스크 틷,터스트 핃,퍼스크 틷,프드트 핃,퍼스트 픋,커스트 핃,퍼스트 픋,프쓰트 핃,터스투 핃,터스트 핐,프스트 픋,퍼스터 핃,프스터 핃,퍼스터 핃,프스터 핃,퍼스투 핃,터스트 핃,터스투 핃,퍼스트 핕,프드트 핃,프스트 픋,퍼스크 틷,프스터 핃,퍼드터 핃,퍼스크 틷,프드트 핃,퍼스트 핐,퍼스트 픋,프스트 픋,퍼서트 핃,퍼스트 핐,프스트 픋,패스투 핃,퍼스터 핃,퍼스트 핕,퍼스트 핐,5,ㅍ
fixed,픽쓰트,픽뜨트,픽쓰터,픽트튀,픽쓰트,킥쓰트,핑쓰터,픽써트,핔쓰터,힉쓰츠,픽쓰뜨,픅씨트,픽쓰티,픾쓰트,펙쓰트,힉쓰트,픽쯔투,퓍쓰크,픽쓰투,픽써터,픾츠트,킥써트,믹츠트,픽트튀,믹츠트,펙쓰트,픽뜨트,픾쓰트,픽트튀,픽쓰티,픅씨트,픽트튀,픽트튀,픽트튀,킥써트,킥써트,픽써트,힉쓰츠,픽트튀,픽트튀,픽써트,픾쓰트,픽쓰티,힉쓰트,펙쓰트,픽써트,킥써트,믹츠트,픽쓰티,픽써터,핑쓰터,핑쓰터,픽뜨트,픽트튀,힉쓰트,힉쓰트,픽써트,킥써트,핑쓰터,픽써트,힉쓰트,픽트튀,픽뜨트,퓍쓰크,픽뜨트,픽뜨트,픽트튀,핑쓰터,픽뜨트,힉쓰트,킥써트,힉쓰트,킥써트,핔쓰터,픽트튀,픾쓰트,픽트튀,픽트튀,픽쓰티,픽트튀,3,ㅍ
flexible,플렉써벌,플뢱써벌,플렉저밸,픔렉쌔벌,펄렉처벌,플릭쌔벌,퓔릭써벌,플렉써펄,플렝쓰벌,픔렉쓰벌,플멕써블,플렊써벌,풀렉써블,플렝써밸,플렉써블,플렉처벌,플렉떠벌,플렉써벌,플렉써밸,플록써벌,플넥쌔벌,플렊써벌,플렉써밸,플렉써펄,플넥쌔벌,플렉떠벌,플넥쌔벌,플뢱써벌,플멕써블,플렝쓰벌,플뢱써벌,플렉써밸,플렊써벌,플렉써밸,플뢱써벌,플릭쌔벌,픔렉쓰벌,플넥쌔벌,플뢱써벌,픔렉쓰벌,플렝쓰벌,플록써벌,펄렉처벌,픔렉쓰벌,플렉써펄,플렉써펄,플멕써블,플렉써밸,플렉써밸,플렉떠벌,플릭쌔벌,플멕써블,플멕써블,플뢱써벌,플렝써밸,펄렉처벌,플릭쌔벌,플렉써벌,플넥쌔벌,플렉써밸,플렉떠벌,플릭쌔벌,픔렉쓰벌,플렊써벌,플록써벌,플록써벌,플렝쓰벌,플렉써펄,플렉써벌,픔렉쌔벌,픔렉쓰벌,플멕써블,플렉써블,플릭쌔벌,풀렉써블,풀렉써블,플멕써블,플렉써펄,플멕써블,플렉써펄,4,ㅍ
flush,플러시,플러디,플머시,플너시,플래시,플러수,흘러시,펄러시,픈러시,플러세,플러띠,펄러수,플러쉬,플러시,믈러시,클러시,픔러새,플래세,플러씨,픔러시,픔러시,펄러수,픔러시,펄러수,펄러수,펄러수,플래시,플래시,플래시,플러씨,펄러수,플러띠,펄러수,펄러수,플러시,픈러시,플러띠,플러쉬,플러띠,플래세,플러수,플러띠,믈러시,펄러수,펄러시,플러씨,플러세,플래시,플러수,펄러수,플러시,플러세,플러디,플러시,펄러수,플러띠,플러디,플러시,픔러시,펄러수,플래시,믈러시,플러씨,플래시,펄러수,픈러시,펄러시,플래시,플래시,플래시,플래시,펄러수,플래시,믈러시,플래시,플러디,믈러시,펄러시,믈러시,플러수,3,ㅍ
fn,에프엔,애프엠,에퍼엔,에흐엔,헤프엔,케프엔,이프켄,애프엔,에프엠,게퍼엔,헤퍼엔,에브앤,에프온,에프껜,애므엔,에프엔,에프켄,에크겐,에프앤,외프왼,게쁘엔,게프엔,께쁘엔,케프엔,게쁘엔,에프켄,헤퍼엔,에프껜,에프앤,애프엠,에크겐,에크겐,헤퍼엔,애프엔,애프엔,게쁘엔,에프켄,헤퍼엔,헤퍼엔,케프엔,에프켄,에프껜,애프엔,애프엠,에프껜,게쁘엔,헤퍼엔,게쁘엔,게쁘엔,게쁘엔,에프껜,헤프엔,헤퍼엔,애프엔,에프켄,애프엔,애프엠,헤퍼엔,에크겐,에프켄,헤퍼엔,에크겐,에프껜,게쁘엔,에크겐,애프엠,헤퍼엔,에프껜,에프껜,에프껜,게퍼엔,게쁘엔,헤퍼엔,에프켄,애프엠,게쁘엔,에프온,애프엠,에프껜,게쁘엔,3,ㅇ
format,포맫,뽀맫,푸맫,푀먿,푀맫,페먿,포맫,코믿,호먿,토밷,호맫,포팯,포맵,페맵,토맬,포뺃,포맨,포먿,푸팯,푸밷,푸맨,포맸,토낻,보랟,뽀맫,포맨,페먿,페먿,포맫,호먿,페먿,코믿,토밷,포맵,뽀맫,페먿,페먿,포맨,호맫,페먿,호먿,푸맫,호먿,포맫,포맨,포뺃,페맵,코믿,페먿,푸밷,푀맫,포맨,페먿,포맫,호맫,포맫,페먿,페먿,뽀맫,푀맫,페맵,포맫,코믿,포맨,포맫,푸맨,포맵,토밷,푸밷,뽀맫,포맫,포맫,호맫,푸맫,호먿,포맸,뽀맫,코믿,페먿,푀맫,2,ㅍ
